model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,MAE,44524,10,0.0006047171369936776,0.0006124510454180158,-7.733908424338132e-06,5
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,MSE,44524,10,1.5377627543209002e-06,1.5347254944926837e-06,3.0372598282167766e-09,7
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,RMSE,44524,10,0.0012018726265101117,0.0011988506707369478,3.0219557731639047e-06,7
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,QLIKE,44524,10,778263.0005437186,0.57487822248262,778262.4256654964,10
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,44524,10,0.9279896341069245,0.923717392686342,0.0042722414205825935,6
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,44524,10,1.8841423421682126,1.3823055777974111,0.5018367643708017,9
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,44524,10,75.999265651473,77.52456361131401,-1.5252979598410081,3
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,SMAPE,8611,10,83.57927734565325,79.48351830954897,4.095759036104293,10
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,MAE,8611,10,0.0014329468653602193,0.001400068466274289,3.287839908593003e-05,9
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,MSE,8611,10,6.356666223296062e-06,6.268449816019547e-06,8.821640727651448e-08,8
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,RMSE,8611,10,0.002433847198514664,0.0024159623419907957,1.7884856523867925e-05,8
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,QLIKE,8611,10,1164588.1052037366,1.214406950103873,1164586.8907967864,10
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,log_RV_MAE,8611,10,0.9835186676880447,0.9111303868069491,0.07238828088109577,10
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,log_RV_MSE,8611,10,1.6033125836104825,1.176015141978924,0.42729744163155853,10
