model_name,family,tau,kappa,gamma,intercept,alpha,clip,tail_rule,selection_score,pooled_min_normalized_gain,worst_fold_metric_normalized_gain,positive_fold_metric_count,fold_metric_count,pooled_smape_gain,pooled_mae_gain,pooled_mse_gain,pooled_smape_normalized_gain,pooled_mae_normalized_gain,pooled_mse_normalized_gain
PM_CAST_D,pm,1.0,0.12,-1.0,0.0,0.5,0.1,q90_half,0.002250884108338672,0.00264592132226645,-0.004227035165980987,11,12,0.26308606112530697,1.346253194668928e-05,6.227227621990292e-09,0.00264592132226645,0.023890186981507112,0.005736685773929344
PM_CAST_D,pm,1.0,0.12,-1.0,0.0,0.75,0.1,q90_half,0.0022501209667344538,0.0026653862462197244,-0.004330701314871966,11,12,0.26502147399260423,1.3822042540357227e-05,6.439494392378445e-09,0.0026653862462197244,0.024528163206081425,0.005932231502443192
PM_CAST_D,pm,0.5,0.12,-1.0,0.02,0.35,0.1,none,0.002244010111941061,0.0024934800084989283,-0.0029221798220566988,11,12,0.247928700075164,1.2843973678826489e-05,9.379624210304154e-09,0.0024934800084989283,0.02279251287854364,0.0086407563748019
PM_CAST_D,pm,0.5,0.12,-1.0,-0.02,0.2,0.1,none,0.002236046675478044,0.002685244380354168,-0.005372564667685465,11,12,0.2669959840608982,1.4451962886204866e-05,8.752601428500344e-09,0.002685244380354168,0.025646000096300026,0.008063126506318971
PM_CAST_D,pm,0.1,0.07,-1.0,0.05,0.5,0.1,none,0.0022322635827753644,0.002534674258813569,-0.003860924269594352,11,12,0.2520246771418613,1.3286072546647232e-05,8.827642825116952e-09,0.002534674258813569,0.023577047664301198,0.008132256613416084
PM_CAST_D,pm,0.5,0.07,-1.0,0.02,0.75,0.1,q90_half,0.002230270887161184,0.0027483514783797174,-0.006141041954793559,10,12,0.2732707730007178,1.443398957207034e-05,5.9372411280465095e-09,0.0027483514783797174,0.025614105216714853,0.005469542593139808
PM_CAST_D,pm,1.0,0.12,-1.0,-0.02,0.5,0.1,q90_half,0.0022249516249044166,0.0027078133860762195,-0.005736720273850432,11,12,0.26924003824684917,1.4292240474738922e-05,6.031449873643411e-09,0.0027078133860762195,0.025362561714116872,0.005556330165949415
PM_CAST_D,pm,0.1,0.12,-1.0,0.02,0.35,0.1,none,0.002220536322835689,0.0024950658190821284,-0.0033863973413672537,11,12,0.2480863784824976,1.3203156380305991e-05,9.680105626779845e-09,0.0024950658190821284,0.023429907235923673,0.00891756775409677
PM_CAST_D,pm,1.0,0.07,-0.5,-0.02,0.5,0.1,none,0.002220384895027968,0.0027555869046455607,-0.006962587940615198,10,12,0.27399019718798456,1.4821085458644975e-05,8.197108047738855e-09,0.0027555869046455607,0.026301033436953135,0.007551391402294005
PM_CAST_D,pm,0.1,0.07,-1.0,0.02,0.35,0.1,none,0.0022184173467796114,0.002582388756692552,-0.00478986386936745,11,12,0.25676896760882073,1.3769301752811279e-05,8.877744639421764e-09,0.002582388756692552,0.024434571058555676,0.008178411721727124
PM_CAST_D,pm,1.0,0.12,-1.0,-0.02,0.2,0.1,none,0.0022165163894848606,0.002662197576028947,-0.005112002971193988,11,12,0.26470442197988575,1.4122690340073176e-05,8.356230119472342e-09,0.002662197576028947,0.025061683362559796,0.007697978837448641
PM_CAST_D,pm,0.5,0.07,-1.0,0.05,0.5,0.1,none,0.0022148080926048938,0.002493468906952815,-0.0033806570799584166,11,12,0.24792759623960592,1.2855875049407376e-05,8.922625747222234e-09,0.002493468906952815,0.02281363267752644,0.00821975737797517
PM_CAST_D,pm,0.5,0.12,-1.0,0.0,0.5,0.1,q90_half,0.0022138880085155344,0.002609361332282759,-0.004657741862903393,11,12,0.2594508722485074,1.3834408506782441e-05,6.520551768889044e-09,0.002609361332282759,0.02455010746227894,0.0060069036883543545
PM_CAST_D,pm,1.0,0.12,-1.0,0.02,0.75,0.1,q90_half,0.0022122211244318987,0.002591004418546857,-0.0031136735682998403,11,12,0.2576256297182198,1.312664486205874e-05,6.560369988141002e-09,0.002591004418546857,0.023294132295191568,0.00604358527858871
PM_CAST_D,pm,0.5,0.12,-0.5,-0.02,0.5,0.1,none,0.0022109548204615123,0.0026960996329733816,-0.005949945922529079,11,12,0.26807533046098797,1.4688563464784819e-05,9.222172414482672e-09,0.0026960996329733816,0.026065864062795412,0.008495707641722182
PM_CAST_D,pm,1.0,0.12,-1.0,-0.02,0.75,0.1,q90_half,0.0022093422563817357,0.0026818673507419707,-0.005536761842865447,11,12,0.2666602033211234,1.4400383628512879e-05,6.272257006445177e-09,0.0026818673507419707,0.02555446916322529,0.005778168026529029
PM_CAST_D,pm,1.0,0.12,-0.5,-0.02,0.5,0.1,none,0.0022079633816514174,0.0026757569150056633,-0.005643816657526796,11,12,0.26605263783680755,1.4329702483110627e-05,8.70442134130183e-09,0.0026757569150056633,0.025429040619292128,0.008018741743532662
PM_CAST_D,pm,0.5,0.07,-0.5,0.02,0.75,0.1,none,0.002202134495552455,0.0025310251004235893,-0.004896408721484592,11,12,0.2516618384213132,1.3306118237183103e-05,8.849652142625245e-09,0.0025310251004235893,0.02361262011805446,0.008152532175240396
PM_CAST_D,pm,1.0,0.07,-1.0,0.02,0.35,0.1,none,0.002198915885662628,0.0025143859282616477,-0.004354936469166909,11,12,0.2500073923016828,1.2858168661047508e-05,7.990238178594909e-09,0.0025143859282616477,0.022817702848810913,0.00736081744106896
PM_CAST_D,pm,0.5,0.07,-0.5,-0.02,0.5,0.1,none,0.002196851980961532,0.0027634535086814914,-0.007095960755408138,10,12,0.2747723798828474,1.5167971174799826e-05,8.682214205127114e-09,0.0027634535086814914,0.02691660594983333,0.007998283945952993
PM_CAST_D,pm,0.1,0.12,-1.0,-0.02,0.2,0.1,none,0.0021957595079601937,0.002666822922099948,-0.005743755807905018,11,12,0.26516432381782806,1.4698929126011426e-05,8.90453274195889e-09,0.002666822922099948,0.02608425864012093,0.008203089625934868
PM_CAST_D,pm,1.0,0.12,-1.0,0.02,0.5,0.1,q90_half,0.0021923359100862495,0.002536939486454672,-0.0028048961268006636,11,12,0.25224991052753865,1.2471539029927366e-05,6.353407747068367e-09,0.002536939486454672,0.022131602030879497,0.005852926221914874
PM_CAST_D,pm,0.1,0.07,-0.5,0.02,0.75,0.1,none,0.0021895025512101277,0.0025560793569805555,-0.005020656350277122,11,12,0.25415300307406596,1.3715341312891768e-05,9.202402338315634e-09,0.0025560793569805555,0.024338814554178464,0.008477494927882008
PM_CAST_D,pm,0.5,0.07,-1.0,0.0,0.75,0.1,q90_half,0.0021891172840339175,0.0027974113905372897,-0.0072620708807873005,10,12,0.2781488390792788,1.4969164991847643e-05,5.750485850622747e-09,0.0027974113905372897,0.0265638107325135,0.005297498722538414
PM_CAST_D,pm,0.5,0.07,-1.0,0.0,0.5,0.1,q90_half,0.0021855642849064926,0.002712030259213818,-0.006445563952427957,11,12,0.2696593252962032,1.4498992478837879e-05,5.7767711735906435e-09,0.002712030259213818,0.025729457336447416,0.005321713452990948
