asset,origin,Date,Actual,Predicted_CP_REPO_FRESH,Predicted_FULL_SMAPE_ACTION,Predicted_FULL_MEAN_ACTION,Predicted_FULL_MEDIAN_ACTION,Predicted_NO_Q_SMAPE_ACTION,selected_bandwidth,full_effective_neighbors,no_q_effective_neighbors,mean_quotient_distance_share
GOOGL,37309,2025-07-07 11:45:00,0.00033588983129446525,0.0007300686763442,0.0005603810737847626,0.0008641210463855666,0.0004857611365175666,0.0005603810737847626,2.0,926.914516078956,914.3209213317708,0.13539496339552964
HYG,736,2023-08-21 12:30:00,0.0,9.38439739978837e-05,0.001802102940567013,6.567278288975997e-05,0.0,0.0006724497597218543,1.0,115.42318871225281,127.65692276190197,0.15757401826943232
HYG,896,2023-08-23 12:50:00,0.0,0.0001771767946913,0.00013403927370778942,3.014411082642725e-05,0.0,0.00013403927370778942,1.0,4.210869330065568,4.577139828899612,0.04695278979657886
HYG,1615,2023-09-06 14:15:00,0.00026876301982643036,0.0003550761598646,0.0005368767325789137,0.0003495817715171275,0.0003345264808905244,0.0005368767325789137,1.0,13.729438556167997,30.279669726184352,0.1026927244810947
HYG,1645,2023-09-07 10:15:00,0.0,0.0001815047173022,0.0002008906157356793,7.392902015725929e-05,0.0,0.00020229947133967998,1.0,231.81445992637694,265.00096786730484,0.15585838543462932
HYG,1710,2023-09-07 15:40:00,0.0001341201718746356,0.0003401469913178,0.00020229947133967998,0.00016191403467481698,6.878177366629966e-05,0.00020210866778141523,1.0,232.2970093778984,277.6253596100755,0.09951752266597531
HYG,1886,2023-09-12 10:50:00,0.0,0.0001341431229372,0.0006143870485787214,6.901958771252665e-05,0.0,0.0005402485274567798,1.0,499.2743594103205,512.2170307834213,0.18380703503949944
HYG,2217,2023-09-18 12:25:00,0.0,9.30998621671956e-05,0.001405669765242344,0.00012897767237830086,0.0,0.0013395849290565834,1.0,510.4979653242944,549.1080827377401,0.23995440169183688
HYG,2294,2023-09-19 12:20:00,0.0,0.0001220131809621,0.0005345807010034183,0.0002469321594178677,0.0,0.00026777346524971637,1.0,9.737174389514301,10.110852593737656,0.0653209294069622
HYG,2361,2023-09-20 11:25:00,0.0,6.611027703559134e-05,0.0013395849290565834,0.0001339680660668498,0.0,0.001335113682969436,1.0,532.4324677515067,574.073080742806,0.23664577880414878
HYG,2737,2023-09-27 10:15:00,0.0,0.0001862744667876,0.00020086371464542158,4.781741641414074e-05,0.0,0.00020083682075859003,1.0,426.3312163044309,482.30716667838453,0.13648893747319157
HYG,3042,2023-10-03 09:40:00,0.0,0.0001395606901074,0.00020246330421786125,0.000195205420631069,0.00013477997190038273,0.00020280547644293065,1.0,136.21612491675242,168.55540947431098,0.05534723467524702
HYG,3086,2023-10-03 13:20:00,0.000412853511678547,0.0001075841140173,0.0003346832254539745,0.0004308703722323731,0.00033468322545397456,0.0003346832254539745,1.0,19.294498865370045,18.551819276576467,0.040552025109268135
HYG,3326,2023-10-06 13:50:00,0.0007618520297849006,0.0006035212754988,0.00013768415277172225,0.00017789634694134312,0.00013768415277172223,0.00013768415277172225,1.0,1.4731606495395282,1.7228194166608257,0.01688560800160269
HYG,3539,2023-10-11 12:05:00,0.0,9.70853402045091e-05,0.0010722424294960613,0.00016187554866812847,0.0,0.0010712373814988586,1.0,576.9439425589914,621.3420931737804,0.23207686428956723
HYG,3850,2023-10-17 12:00:00,0.0,0.0001323723072057,0.0006828269299107778,0.00014572341793767468,0.0,0.0005471956360886393,1.0,686.1976009225224,725.210721575629,0.10100450582067422
HYG,3907,2023-10-18 10:15:00,0.0,0.0002047234189506,0.00013563919993679168,6.748756311729638e-05,0.0,0.00013650945349170745,1.0,294.02784184594975,326.45894475628745,0.08347695797090164
HYG,4298,2023-10-25 10:20:00,0.0,0.0001541261037948,0.00016459000065942965,4.808422433441218e-05,0.0,0.00013562080443908097,1.0,346.58302631598053,426.7005903917835,0.19138932422519198
HYG,4373,2023-10-26 10:05:00,0.0,0.0002196841700853,0.00014214774538725666,5.9033377386711754e-05,0.0,0.0001421477453872566,1.0,288.61066089599717,377.28611517710857,0.17952783684882592
HYG,4568,2023-10-30 13:20:00,0.00027643400314243937,0.0002204967856798,0.0006913239127738227,0.00025434387976148987,0.0,0.0006913239127738227,1.0,5.139141234153715,5.569711683321652,0.018227360734240465
HYG,4723,2023-11-01 13:15:00,0.0,0.0006494330569256,0.000415081292711642,0.0004150812924093102,0.000415081292711642,0.000415081292711642,1.0,1.000000001755112,1.0000000024047,0.014964947790657454
