asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002317050812031,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.0001687232828379,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001687232828379,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,0.0001117861498714,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001117861498714,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,8.089021917373997e-05,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,8.089021917373997e-05,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,9.510587955650004e-05,-0.5259365561497379,0.25,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,RANDOM_GATE_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0002619798079299,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002619798079299,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.0001685033289296,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001685033289296,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,9.77360013658e-05,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,9.77360013658e-05,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,6.551613829063997e-05,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,6.551613829063997e-05,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.000261999670904,-0.394561205780548,0.25,False,False
AMZN,RANDOM_GATE_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,RANDOM_GATE_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
EEM,RAW_CP_REPO_PLUS_PM,top_5pct,perturbation_magnitude,0.05,8.597851286684999e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,8.597851286684999e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_10pct,perturbation_magnitude,0.1,5.778186575567999e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,5.778186575567999e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_20pct,perturbation_magnitude,0.2,3.6504988552259983e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,3.6504988552259983e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,2.62791188695e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,2.62791188695e-05,,0.0,False,True
EEM,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0001162398402148,-0.452416633935548,0.25,False,False
EEM,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.2001143821999509,,,0.0,False,False
EEM,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.118494512377788,,,0.0,False,False
EEM,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.000184436366263,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.000184436366263,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_10pct,perturbation_magnitude,0.1,0.0001268019386174,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001268019386174,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_20pct,perturbation_magnitude,0.2,7.831789209327997e-05,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,7.831789209327997e-05,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_30pct,perturbation_magnitude,0.3,5.3786421573959975e-05,,0.0,False,True
EEM,CP_REPO_OPS_HG,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,5.3786421573959975e-05,,0.0,False,True
EEM,CP_REPO_OPS_HG,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0002081327678508,-0.1746940011977994,0.25,False,False
EEM,CP_REPO_OPS_HG,condition_cluster_entry_loose,condition_label,0.2001143821999509,,,0.0,False,False
EEM,CP_REPO_OPS_HG,condition_entry_with_recent_spike,condition_label,0.118494512377788,,,0.0,False,False
EEM,CP_REPO_GATED_RIDGE_OPS_C,top_5pct,perturbation_magnitude,0.05,0.0001365605212791,,0.0,False,True
